Month,FII Buy,FII Sell,FII Net,DII Buy,DII Sell,DII Net
2014-06,94458.3,87126.39,7331.91,30264.82,34677.5,-4412.68
2014-07,92008.38,85043.8,6964.58,34725.88,37942.41,-3216.53
2014-08,70685.63,68004.16,2681.47,29609.8,27274.32,2335.48
2014-09,91063.57,89560.48,1503.09,35881.96,37018.95,-1136.99
2014-10,68678.08,70360.95,-1682.87,30691.34,26588.47,4102.87
2014-11,92237.7,81292.11,10945.59,28664.95,35936.29,-7271.34
2014-12,76004.51,79941.33,-3936.82,37301.1,31345.31,5955.79
2015-01,97928.91,89388.15,8540.76,33785.16,40316.91,-6531.75
2015-02,98624.75,91878.55,6746.2,38472.96,36761.08,1711.88
2015-03,113231.7,106651.03,6580.67,41189.93,40995.17,194.76
2015-04,112729.67,104865.31,7864.36,42708.08,31196.62,11511.46
2015-05,115328.54,120124.79,-4796.25,42361.08,33778.82,8582.26
2015-06,88687.39,96880.31,-8192.92,41851.78,29825.23,12026.55
2015-07,87724.15,85426.1,2298.05,35163.76,35091.45,72.31
2015-08,95879.11,115651.18,-19772.07,48145.48,31707.95,16437.53
2015-09,81805.27,93084.59,-11279.32,39091.63,28818.57,10273.06
2015-10,77250.13,74223.47,3026.66,32159.62,33678.48,-1518.86
2015-11,75013.31,84043.12,-9029.81,33828.14,25328.16,8499.98
2015-12,69530.14,71890.16,-2360.02,37088.08,30760.44,6327.64
2016-01,71491.92,85847.93,-14356.01,43075.94,30201.04,12874.9
2016-02,74262.92,86776.04,-12513.12,40129.01,29637.4,10491.61
2016-03,108002.95,83801.44,24201.51,31576.15,48468.05,-16891.9
2016-04,69963.65,67027.37,2936.28,24467.25,27021.61,-2554.36
2016-05,97116.2,97077.81,38.39,38877.32,32119.24,6758.08
2016-06,89373.04,85415.09,3957.95,35927.95,38101.5,-2173.55
2016-07,91989.79,81867.1,10122.69,38640.08,44694.68,-6054.6
2016-08,110195.16,101416.89,8778.27,45174.03,49580.34,-4406.31
