Date,FII Buy,FII Sell,FII Net,DII Buy,DII Sell,DII Net,Source,Status
2024-04-30,21768.1,19917.08,1851.02,14438.64,13009.53,1429.11,Master 2006-2026,provisional
2024-05-02,17121.48,17816.48,-695.0,15122.33,13769.89,1352.44,Master 2006-2026,provisional
2024-05-03,17677.66,19815.71,-2138.05,13865.92,13175.4,690.52,Master 2006-2026,provisional
2024-05-06,13576.97,14727.95,-1150.98,13791.15,13009.76,781.39,Master 2006-2026,provisional
2024-05-07,14222.3,17165.28,-2942.98,13202.8,10898.3,2304.5,Master 2006-2026,provisional
2024-05-08,13068.22,18405.02,-5336.8,15333.26,9404.45,5928.81,Master 2006-2026,provisional
2024-05-09,11524.71,18194.63,-6669.92,16351.32,10708.79,5642.53,Master 2006-2026,provisional
2024-05-10,12192.16,13484.31,-1292.15,10677.79,7967.98,2709.81,Master 2006-2026,provisional
2024-05-13,10423.23,14815.76,-4392.53,12655.75,9093.0,3562.75,Master 2006-2026,provisional
2024-05-14,11483.06,13996.13,-2513.07,11455.11,7927.25,3527.86,Master 2006-2026,provisional
2024-05-15,11621.73,13960.57,-2338.84,12915.36,9126.98,3788.38,Master 2006-2026,provisional
2024-05-16,16778.82,17401.15,-622.33,14907.72,12779.91,2127.81,Master 2006-2026,provisional
2024-05-17,16399.17,14218.46,2180.71,11656.6,10100.35,1556.25,Master 2006-2026,provisional
2024-05-18,,,0.0,149.06,301.93,-152.87,Master 2006-2026,provisional
2024-05-21,17870.48,19747.76,-1877.28,16104.49,12555.52,3548.97,Master 2006-2026,provisional
2024-05-22,37435.95,31544.24,5891.71,13486.33,12524.42,961.91,Master 2006-2026,provisional
2024-05-23,,,0.0,12439.4,12292.89,146.51,Master 2006-2026,provisional
2024-05-24,11235.38,12172.46,-937.08,13475.7,11155.38,2320.32,Master 2006-2026,provisional
2024-05-27,15033.19,14337.03,696.16,12902.57,11979.97,922.6,Master 2006-2026,provisional
2024-05-28,14771.36,12636.82,2134.54,13169.66,9937.99,3231.67,Master 2006-2026,provisional
2024-05-29,15489.5,19800.91,-4311.41,12954.15,7720.36,5233.79,Master 2006-2026,provisional
2024-05-30,21863.57,22985.62,-1122.05,13748.5,10315.58,3432.92,Master 2006-2026,provisional
2024-05-31,96154.75,93977.09,2177.66,21441.16,19326.99,2114.17,Master 2006-2026,provisional
2024-06-03,23537.43,16690.31,6847.12,22651.16,20737.18,1913.98,Master 2006-2026,provisional
2024-06-04,26735.75,38979.66,-12243.91,25963.84,29282.82,-3318.98,Master 2006-2026,provisional
2024-06-05,23244.29,28048.68,-4804.39,28615.23,24060.15,4555.08,Master 2006-2026,provisional
2024-06-06,14540.72,21311.43,-6770.71,17030.3,13311.92,3718.38,Master 2006-2026,provisional
2024-06-07,21034.55,15678.72,5355.83,15564.17,16853.92,-1289.75,Master 2006-2026,provisional
2024-06-10,13889.79,11021.92,2867.87,16933.99,14169.53,2764.46,Master 2006-2026,provisional
2024-06-11,15549.72,15492.7,57.02,14162.6,10969.31,3193.29,Master 2006-2026,provisional
2024-06-12,15752.26,15072.93,679.33,13651.65,13417.9,233.75,Master 2006-2026,provisional
2024-06-13,19670.65,16900.23,2770.42,12374.17,12928.05,-553.88,Master 2006-2026,provisional
2024-06-14,16495.6,13261.09,3234.51,11876.45,11220.69,655.76,Master 2006-2026,provisional
2024-06-18,18535.99,16959.64,1576.35,13955.22,12399.49,1555.73,Master 2006-2026,provisional
2024-06-19,24810.13,15634.59,9175.54,22548.24,15440.44,7107.8,Master 2006-2026,provisional
2024-06-20,16946.34,15698.7,1247.64,12564.28,12890.09,-325.81,Master 2006-2026,provisional
2024-06-21,46238.3,44440.64,1797.66,18603.77,17366.56,1237.21,Master 2006-2026,provisional
2024-06-24,14523.73,13663.31,860.42,11251.18,12071.65,-820.47,Master 2006-2026,provisional
2024-06-25,17843.16,15378.18,2464.98,13519.21,13668.66,-149.45,Master 2006-2026,provisional
2024-06-26,20022.2,18508.97,1513.23,18342.37,13238.7,5103.67,Master 2006-2026,provisional
2024-06-27,33717.95,25959.98,7757.97,26887.35,30493.28,-3605.93,Master 2006-2026,provisional
2024-06-28,22819.11,21265.74,1553.37,20973.4,14315.09,6658.31,Master 2006-2026,provisional
2024-07-01,13687.56,14181.64,-494.08,16210.07,12292.64,3917.43,Master 2006-2026,provisional
2024-07-02,14544.25,17051.34,-2507.09,14203.4,13555.15,648.25,Master 2006-2026,provisional
2024-07-03,16500.06,12601.55,3898.51,14121.15,15045.58,-924.43,Master 2006-2026,provisional
2024-07-04,16289.44,10777.9,5511.54,11303.32,13678.5,-2375.18,Master 2006-2026,provisional
2024-07-05,15188.31,12018.86,3169.45,12695.07,14346.43,-1651.36,Master 2006-2026,provisional
2024-07-08,13925.11,13763.44,161.67,14355.09,11488.3,2866.79,Master 2006-2026,provisional
2024-07-09,16247.96,14719.78,1528.18,13615.06,12198.6,1416.46,Master 2006-2026,provisional
2024-07-10,18049.91,15865.96,2183.95,15152.85,14070.45,1082.4,Master 2006-2026,provisional
2024-07-11,16631.52,16284.6,346.92,15835.3,14158.83,1676.47,Master 2006-2026,provisional
2024-07-12,20307.03,14939.27,5367.76,14490.17,16141.62,-1651.45,Master 2006-2026,provisional
2024-07-15,15686.34,12348.45,3337.89,15033.05,15364.05,-331.0,Master 2006-2026,provisional
2024-07-16,14975.01,13314.21,1660.8,14935.86,15465.34,-529.48,Master 2006-2026,provisional
2024-07-18,25437.8,20384.93,5052.87,15676.29,18580.54,-2904.25,Master 2006-2026,provisional
2024-07-19,16142.71,14318.64,1824.07,15051.42,15512.98,-461.56,Master 2006-2026,provisional
2024-07-22,21445.25,13098.52,8346.73,13552.91,15205.25,-1652.34,Master 2006-2026,provisional
2024-07-23,15526.59,17075.23,-1548.64,17799.44,16380.62,1418.82,Master 2006-2026,provisional
2024-07-24,17143.11,20651.33,-3508.22,17787.34,14650.04,3137.3,Master 2006-2026,provisional
2024-07-25,17720.77,19918.55,-2197.78,15760.02,13328.33,2431.69,Master 2006-2026,provisional
2024-07-26,20646.41,16377.15,4269.26,18856.44,16082.13,2774.31,Master 2006-2026,provisional
2024-07-29,17594.58,20320.94,-2726.36,18993.38,13327.84,5665.54,Master 2006-2026,provisional
2024-07-30,14863.06,17729.02,-2865.96,18718.94,13153.84,5565.1,Master 2006-2026,provisional
2024-07-31,21330.43,24184.19,-2853.76,16592.56,13226.05,3366.51,Master 2006-2026,provisional
2024-08-01,18751.2,16924.85,1826.35,13956.4,14293.43,-337.03,Master 2006-2026,provisional
2024-08-02,14844.73,18211.95,-3367.22,16579.92,13613.98,2965.94,Master 2006-2026,provisional
2024-08-05,19840.0,23532.07,-3692.07,23766.9,14611.35,9155.55,Master 2006-2026,provisional
2024-08-06,15375.16,18399.95,-3024.79,14422.78,11065.33,3357.45,Master 2006-2026,provisional
2024-08-07,14970.93,17812.58,-2841.65,16070.87,12269.66,3801.21,Master 2006-2026,provisional
2024-08-08,18414.4,17892.75,521.65,11738.64,11161.34,577.3,Master 2006-2026,provisional
2024-08-09,11072.63,12233.96,-1161.33,15190.99,11211.4,3979.59,Master 2006-2026,provisional
2024-08-12,16012.75,18823.83,-2811.08,13701.95,9224.22,4477.73,Master 2006-2026,provisional
2024-08-13,15153.74,16573.44,-1419.7,13005.78,11765.82,1239.96,Master 2006-2026,provisional
2024-08-14,15308.8,17686.42,-2377.62,12269.21,10033.0,2236.21,Master 2006-2026,provisional
2024-08-16,19297.76,18101.27,1196.49,12795.7,10189.52,2606.18,Master 2006-2026,provisional
2024-08-19,13171.02,14927.44,-1756.42,11138.17,9335.25,1802.92,Master 2006-2026,provisional
2024-08-20,18600.5,14565.54,4034.96,13182.77,10930.67,2252.1,Master 2006-2026,provisional
2024-08-21,17462.96,17893.66,-430.7,13299.53,10202.08,3097.45,Master 2006-2026,provisional
2024-08-22,19040.35,17188.22,1852.13,12239.7,9267.9,2971.8,Master 2006-2026,provisional
2024-08-23,17958.98,14076.93,3882.05,13341.03,10445.01,2896.02,Master 2006-2026,provisional
2024-08-26,13229.85,12260.44,969.41,13045.47,11175.25,1870.22,Master 2006-2026,provisional
2024-08-27,16864.93,12070.32,4794.61,12159.6,12763.68,-604.08,Master 2006-2026,provisional
2024-08-28,14905.02,15452.85,-547.83,12746.57,12307.22,439.35,Master 2006-2026,provisional
2024-08-29,31783.03,17256.39,14526.64,19919.09,17228.24,2690.85,Master 2006-2026,provisional
2024-08-30,86919.31,85415.35,1503.96,18357.37,21555.44,-3198.07,Master 2006-2026,provisional
2024-09-02,18158.61,12398.8,5759.81,12538.52,12182.15,356.37,Master 2006-2026,provisional
2024-09-03,21693.14,18657.35,3035.79,11867.28,9971.07,1896.21,Master 2006-2026,provisional
2024-09-04,17701.36,16115.43,1585.93,13583.92,13486.57,97.35,Master 2006-2026,provisional
2024-09-05,17879.58,18783.77,-904.19,14803.18,11832.44,2970.74,Master 2006-2026,provisional
2024-09-06,20265.47,18322.57,1942.9,15699.2,13577.67,2121.53,Master 2006-2026,provisional
2024-09-09,15086.81,13952.44,1134.37,12172.78,10415.76,1757.02,Master 2006-2026,provisional
2024-09-10,17619.47,14657.03,2962.44,12153.63,12429.0,-275.37,Master 2006-2026,provisional
2024-09-11,16685.03,13815.41,2869.62,11401.9,11171.0,230.9,Master 2006-2026,provisional
2024-09-12,23738.68,15766.98,7971.7,13690.6,15491.14,-1800.54,Master 2006-2026,provisional
2024-09-13,27035.31,23989.55,3045.76,11156.43,8624.25,2532.18,Master 2006-2026,provisional
2024-09-16,,,0.0,10025.07,9270.98,754.09,Master 2006-2026,provisional
2024-09-17,26057.36,23676.41,2380.95,10959.98,10085.83,874.15,Master 2006-2026,provisional
2024-09-18,,,0.0,11794.51,11642.2,152.31,Master 2006-2026,provisional
2024-09-19,18788.78,18378.25,410.53,16234.69,14221.83,2012.86,Master 2006-2026,provisional
2024-09-20,60832.45,45651.09,15181.36,16987.42,21414.5,-4427.08,Master 2006-2026,provisional
2024-09-23,13964.95,11933.23,2031.72,11666.36,10643.72,1022.64,Master 2006-2026,provisional
2024-09-24,22005.49,23459.58,-1454.09,15939.51,12071.2,3868.31,Master 2006-2026,provisional
2024-09-25,15768.75,16405.41,-636.66,12899.34,11120.35,1778.99,Master 2006-2026,provisional
2024-09-26,32482.77,23945.19,8537.58,15461.3,13056.18,2405.12,Master 2006-2026,provisional
2024-09-27,28827.61,28463.45,364.16,50042.69,43156.04,6886.65,Master 2006-2026,provisional
2024-09-30,20375.77,26802.61,-6426.84,17880.53,11234.73,6645.8,Master 2006-2026,provisional
2024-10-01,12922.56,18131.14,-5208.58,14435.2,9825.65,4609.55,Master 2006-2026,provisional
2024-10-03,17725.67,33232.42,-15506.75,25294.47,12380.51,12913.96,Master 2006-2026,provisional
2024-10-04,14961.82,24606.92,-9645.1,20286.53,11381.45,8905.08,Master 2006-2026,provisional
2024-10-07,14936.79,23063.49,-8126.7,23924.07,10678.95,13245.12,Master 2006-2026,provisional
2024-10-08,15789.06,21169.76,-5380.7,19494.71,12494.03,7000.68,Master 2006-2026,provisional
2024-10-09,12824.15,16503.41,-3679.26,14841.81,11333.2,3508.61,Master 2006-2026,provisional
2024-10-10,10097.93,14834.9,-4736.97,13301.19,9422.86,3878.33,Master 2006-2026,provisional
2024-10-11,6544.58,10575.98,-4031.4,11906.51,8175.64,3730.87,Master 2006-2026,provisional
2024-10-14,10109.27,13667.63,-3558.36,11597.52,9319.43,2278.09,Master 2006-2026,provisional
2024-10-15,16631.38,18165.21,-1533.83,13229.43,11574.47,1654.96,Master 2006-2026,provisional
2024-10-16,15988.91,18552.71,-2563.8,13432.45,11176.16,2256.29,Master 2006-2026,provisional
2024-10-17,10357.39,17660.38,-7302.99,16817.01,11837.18,4979.83,Master 2006-2026,provisional
2024-10-18,12969.0,18112.98,-5143.98,13850.16,8635.33,5214.83,Master 2006-2026,provisional
2024-10-21,25505.16,14795.57,10709.59,13741.13,10515.22,3225.91,Master 2006-2026,provisional
